id;chan_id;val;dtime
19131370;265;18,5;2020-01-01 00:00:12.107
19131689;265;18,9;2020-01-01 00:15:12.110
19132029;265;19,1;2020-01-01 00:30:12.200
19132342;265;19,3;2020-01-01 00:45:09.710
19132675;265;19,7;2020-01-01 01:00:10.230
19133005;265;19,8;2020-01-01 01:15:12.783
19133250;265;19,9;2020-01-01 01:30:06.797
19133600;265;20,3;2020-01-01 01:45:07.250
19133988;265;20,8;2020-01-01 02:00:12.230
19134253;265;21,3;2020-01-01 02:15:07.207
19134648;265;22;2020-01-01 02:30:12.280
19134969;265;22,9;2020-01-01 02:45:09.760
19135303;265;23,6;2020-01-01 03:00:11.837
19135546;265;24,3;2020-01-01 03:15:06.790
19135948;265;25,3;2020-01-01 03:30:09.847
19136296;265;26,2;2020-01-01 03:45:14.353
19136601;265;26,8;2020-01-01 04:00:12.377
19136935;265;27,3;2020-01-01 04:15:12.417
19137215;265;27,4;2020-01-01 04:30:07.427
19137585;265;3290,5;2020-01-01 04:45:09.930
19137912;265;27,3;2020-01-01 05:00:09.463
19138270;265;27,2;2020-01-01 05:15:15.030
19138558;265;27,3;2020-01-01 05:30:09.577
19138863;265;27,3;2020-01-01 05:45:07.517
19139192;265;27,3;2020-01-01 06:00:07.530
19139552;265;27,4;2020-01-01 06:15:12.607
19139904;265;27,5;2020-01-01 06:30:15.080
19140211;265;27,6;2020-01-01 06:45:12.090
19140487;265;27,7;2020-01-01 07:00:07.360
19140858;265;27,8;2020-01-01 07:15:12.427
19141218;265;27,7;2020-01-01 07:30:17.540
19141516;265;27,5;2020-01-01 07:45:10.020
19141836;265;27,3;2020-01-01 08:00:12.040
19142158;265;27,3;2020-01-01 08:15:09.527
19142491;265;27,3;2020-01-01 08:30:10.073
19142824;265;27,9;2020-01-01 08:45:12.097
19143153;265;28,3;2020-01-01 09:00:09.563
19143487;265;28,6;2020-01-01 09:15:12.077
19143835;265;28,7;2020-01-01 09:30:14.660
19144138;265;28,9;2020-01-01 09:45:12.637
19144471;265;29,1;2020-01-01 10:00:12.620
19144790;265;29,2;2020-01-01 10:15:10.093
19145113;265;29,5;2020-01-01 10:30:09.613
19145450;265;29,8;2020-01-01 10:45:12.603
19145759;265;30;2020-01-01 11:00:10.070
19146057;265;30,4;2020-01-01 11:15:07.510
19146389;265;30,6;2020-01-01 11:30:07.583
19146723;265;30,9;2020-01-01 11:45:07.623
19147085;265;31,2;2020-01-01 12:00:09.607
19147394;265;31,6;2020-01-01 12:15:07.590
19147781;265;32,1;2020-01-01 12:30:15.213
19148085;265;32,6;2020-01-01 12:45:12.273
19148404;265;32,9;2020-01-01 13:00:12.267
19148719;265;33,2;2020-01-01 13:15:09.760
19149060;265;33,3;2020-01-01 13:30:11.863
19149392;265;33,4;2020-01-01 13:45:11.830
19149657;265;33,5;2020-01-01 14:00:07.280
