id;chan_id;val;dtime
19167689;202;23,7;2020-01-02 03:45:10.897
19168011;202;23,8;2020-01-02 04:00:08.363
19168263;202;23,9;2020-01-02 04:15:06.000
19168672;202;23,9;2020-01-02 04:30:08.737
19168916;202;24,1;2020-01-02 04:45:06.270
19169317;202;24;2020-01-02 05:00:08.953
19169580;202;24,1;2020-01-02 05:15:06.520
19169890;202;24,2;2020-01-02 05:30:05.717
19170300;202;24,3;2020-01-02 05:45:08.380
19170629;202;24,6;2020-01-02 06:00:08.580
19170976;202;24,5;2020-01-02 06:15:11.233
19171285;202;24,4;2020-01-02 06:30:08.717
19171536;202;24,2;2020-01-02 06:45:06.310
19171864;202;24,3;2020-01-02 07:00:06.453
19172278;202;24,5;2020-01-02 07:15:11.657
19172607;202;25,4;2020-01-02 07:30:10.797
19172834;202;27,8;2020-01-02 07:45:05.823
19173245;202;27;2020-01-02 08:00:08.480
19173483;202;26,1;2020-01-02 08:15:06.107
19173888;202;25,6;2020-01-02 08:30:08.860
19174143;202;25,4;2020-01-02 08:45:06.407
19174564;202;24,8;2020-01-02 09:00:11.560
19174861;202;24,9;2020-01-02 09:15:08.177
19175226;202;24,8;2020-01-02 09:30:13.407
19175508;202;24,7;2020-01-02 09:45:08.543
19175766;202;24,6;2020-01-02 10:00:06.130
19176087;202;24,8;2020-01-02 10:15:06.430
19176415;202;24,8;2020-01-02 10:30:06.677
19176812;202;24,9;2020-01-02 10:45:08.403
19177131;202;24,8;2020-01-02 11:00:08.500
19177468;202;25;2020-01-02 11:15:08.633
19177796;202;24,9;2020-01-02 11:30:08.760
19178132;202;25,1;2020-01-02 11:45:11.390
19178449;202;25,2;2020-01-02 12:00:08.923
19178785;202;25,2;2020-01-02 12:15:09.000
19179098;202;25,1;2020-01-02 12:30:09.163
19179332;202;25,3;2020-01-02 12:45:05.800
19179660;202;25,2;2020-01-02 13:00:06.100
19179995;202;25,2;2020-01-02 13:15:06.283
19180404;202;25,5;2020-01-02 13:30:09.043
19180770;202;25,4;2020-01-02 13:45:14.200
